"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
746146;2026-01-17;"sábado";"09:15:00";"MG";381;419;"CAETE";"Velocidade Incompatível";"Colisão lateral mesmo sentido";"Com Vítimas Fatais";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Viaduto;Reta";"Sim";4;1;0;1;2;0;1;3;-19,783649;-43,666443;"SPRF-MG";"DEL01-MG";"UOP01-DEL01-MG"
746147;2026-01-17;"sábado";"09:30:00";"GO";153;501;"GOIANIA";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";3;0;1;0;1;1;1;3;-16,71611051;-49,23625946;"SPRF-GO";"DEL01-GO";"UOP01-DEL01-GO"
746149;2026-01-17;"sábado";"08:00:00";"RO";364;529,6;"ARIQUEMES";"Ingestão de álcool pelo condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";2;0;0;1;0;2;1;3;-9,801567;-63,085087;"SPRF-RO";"DEL03-RO";"UOP01-DEL03-RO"
746153;2026-01-17;"sábado";"09:40:00";"PE";101;72,8;"RECIFE";"Manobra de mudança de faixa";"Colisão lateral mesmo sentido";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Curva;Aclive";"Sim";3;0;0;0;2;3;0;5;-8,0918;-34,94727;"SPRF-PE";"DEL01-PE";"UOP01-DEL01-PE"
746155;2026-01-17;"sábado";"08:25:00";"PR";376;50,4;"LOANDA";"Condutor Dormindo";"Colisão frontal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";3;0;0;1;1;2;1;4;-22,887575;-52,930851;"SPRF-PR";"DEL09-PR";"UOP02-DEL09-PR"
746156;2026-01-17;"sábado";"09:30:00";"BA";324;603;"SIMOES FILHO";"Pista Escorregadia";"Saída de leito carroçável";"Sem Vítimas";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Reta";"Sim";1;0;0;0;1;0;0;1;-12,78265931;-38,41390228;"SPRF-BA";"DEL01-BA";"UOP01-DEL01-BA"
746157;2026-01-17;"sábado";"06:30:00";"BA";110;291;"INHAMBUPE";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Fatais";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Curva;Declive";"Não";2;1;0;0;0;1;0;2;-11,76095979;-38,32912581;"SPRF-BA";"DEL01-BA";"UOP04-DEL01-BA"
746164;2026-01-17;"sábado";"11:00:00";"BA";116;368,9;"SERRINHA";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Simples";"Aclive;Reta";"Não";3;0;0;1;0;2;1;3;-11,75195;-38,98613;"SPRF-BA";"DEL02-BA";"UOP01-DEL02-BA"
746170;2026-01-17;"sábado";"11:35:00";"PR";376;93,9;"PARANAVAI";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta;Em Obras";"Não";4;0;0;1;3;0;1;4;-23,009;-52,54156;"SPRF-PR";"DEL09-PR";"UOP02-DEL09-PR"
746172;2026-01-17;"sábado";"08:55:00";"MG";365;588,8;"INDIANOPOLIS";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Múltipla";"Declive;Reta";"Não";3;0;1;0;2;0;1;2;-18,8666;-48,0162;"SPRF-MG";"DEL15-MG";"UOP02-DEL15-MG"
746182;2026-01-17;"sábado";"11:20:00";"SP";116;358;"MIRACATU";"Demais falhas mecânicas ou elétricas";"Colisão com objeto";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Declive;Curva";"Não";2;0;1;0;1;0;1;1;-24,10820655;-47,26422672;"SPRF-SP";"DEL04-SP";"UOP03-DEL04-SP"
746199;2026-01-17;"sábado";"13:10:00";"RJ";101;176;"MACAE";"Transitar na contramão";"Colisão lateral sentido oposto";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";6;2;0;0;3;1;0;3;-22,385053;-41,98185;"SPRF-RJ";"DEL08-RJ";"UOP04-DEL08-RJ"
746200;2026-01-17;"sábado";"13:50:00";"MG";116;313,1;"ITAMBACURI";"Ausência de reação do condutor";"Colisão com objeto";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Curva;Ponte";"Não";3;0;1;0;0;2;1;3;-18,095083;-41,689333;"SPRF-MG";"DEL11-MG";"UOP01-DEL11-MG"
